time,ultrasonic,sheepCount
1585150558.941055,148,3
1585150559.003482,148,3
1585150559.065905,148,3
1585150559.128404,148,3
1585150559.190859,27,3
1585150559.253271,148,3
1585150559.315688,148,3
1585150559.378164,148,3
1585150559.440588,148,3
1585150559.503026,148,3
1585150559.565510,148,3
1585150559.628017,148,3
1585150559.690427,148,3
1585150559.752838,148,3
1585150559.815247,148,3
1585150559.877710,148,3
1585150559.940122,148,3
1585150560.002524,148,3
1585150560.064959,148,3
1585150560.127467,148,3
1585150560.189887,148,3
1585150560.252307,148,3
1585150560.314725,148,3
1585150560.377257,148,3
1585150560.439712,148,3
1585150560.502147,148,3
1585150560.564612,148,3
1585150560.627039,148,3
1585150560.689451,148,3
1585150560.751892,148,3
1585150560.814307,148,3
1585150560.876834,148,3
1585150560.939251,148,3
1585150561.001656,148,3
1585150561.064276,148,3
1585150561.127083,148,3
1585150561.189567,148,3
1585150561.252023,148,3
1585150561.314467,148,3
1585150561.376952,148,3
1585150561.439372,148,3
1585150561.501807,148,3
1585150561.564223,148,3
1585150561.626673,148,3
1585150561.689110,148,3
1585150561.751535,202,3
1585150561.813965,148,3
1585150561.876390,148,3
1585150561.938822,148,3
1585150562.001242,148,3
1585150562.063669,148,3
1585150562.126177,148,3
1585150562.188625,148,3
1585150562.251061,148,3
1585150562.313481,148,3
1585150562.375930,148,3
1585150562.438608,148,3
1585150562.501215,148,3
1585150562.563821,148,3
1585150562.626426,148,3
1585150562.689074,148,3
1585150562.751617,148,3
1585150562.814266,148,3
1585150562.876900,148,3
1585150562.939503,148,3
1585150563.002125,148,3
1585150563.064794,148,3
1585150563.127430,148,3
1585150563.190070,148,3
1585150563.252686,148,3
1585150563.315330,148,3
1585150563.378088,148,3
1585150563.440678,148,3
1585150563.503309,148,3
1585150563.565909,148,3
1585150563.628587,148,3
1585150563.691147,148,3
1585150563.753594,148,3
1585150563.816065,148,3
1585150563.878470,148,3
1585150563.940877,148,3
1585150564.003287,148,3
1585150564.065702,148,3
1585150564.128188,148,3
1585150564.190613,148,3
1585150564.253034,148,3
1585150564.315462,148,3
1585150564.377880,148,3
1585150564.440302,148,3
1585150564.502726,148,3
1585150564.565149,148,3
1585150564.627599,148,3
1585150564.690021,148,3
1585150564.752433,148,3
1585150564.814842,148,3
1585150564.877259,148,3
1585150564.939704,148,3
1585150565.002106,148,3
1585150565.064511,148,3
1585150565.126926,148,3
1585150565.189338,148,3
1585150565.251785,148,3
1585150565.314211,148,3
1585150565.376805,148,3
1585150565.439263,148,3
1585150565.501679,148,3
1585150565.564088,148,3
1585150565.626506,148,3
1585150565.688918,148,3
1585150565.751336,148,3
1585150565.813761,148,3
1585150565.876178,148,3
1585150565.938649,148,3
1585150566.001052,148,3
1585150566.063450,148,3
1585150566.125870,24,3
1585150566.188399,519,3
1585150566.250805,22,3
1585150566.313208,19,3
1585150566.375634,18,3
1585150566.438238,148,3
1585150566.500854,148,3
1585150566.563466,148,3
1585150566.626080,148,3
1585150566.688617,148,3
1585150566.751219,148,3
1585150566.813811,148,3
1585150566.876421,148,3
1585150566.939064,148,3
1585150567.001683,148,3
1585150567.064285,148,3
1585150567.126927,148,3
1585150567.189544,148,3
1585150567.252161,148,3
1585150567.314729,148,3
1585150567.377275,148,3
1585150567.439856,148,3
1585150567.502353,148,3
1585150567.565028,148,3
1585150567.627711,148,3
1585150567.690366,148,3
1585150567.753021,148,3
1585150567.815575,148,3
1585150567.878242,148,3
1585150567.940729,148,3
1585150568.003136,148,3
1585150568.065548,148,3
1585150568.128063,148,3
1585150568.190522,148,3
1585150568.252944,148,3
1585150568.315350,148,3
1585150568.377781,148,3
1585150568.440211,148,3
1585150568.502688,148,3
1585150568.565116,148,3
1585150568.627522,148,3
1585150568.689938,148,3
1585150568.752347,148,3
1585150568.814751,148,3
1585150568.877206,148,3
